AccountNo,BetDate,ClassId,CategoryId,Source,BetCount,Bet_Amt,Win_Amt
00C017    ,41159,22527_SALE,22527,I,0,0,200
00C017    ,41160,22527_PRCH,22527,I,2,330,0
00C017    ,41161,22527_PRCH,22527,I,1,100,0
00C017    ,41162,22508_RTNS,22508,I,0,0,524.43
00C017    ,41162,22508_STKE,22508,I,131,724.8,0
00C017    ,41162,22527_PRCH,22527,I,1,120,0
00C017    ,41162,22527_SALE,22527,I,0,0,900
00C017    ,41163,22527_PRCH,22527,I,2,250,0
00C017    ,41166,22527_PRCH,22527,I,3,650,0
00C017    ,41167,22527_PRCH,22527,I,1,200,0
00C017    ,41168,22527_PRCH,22527,I,2,150,0
00C017    ,41170,22527_PRCH,22527,I,1,190,0
00C017    ,41173,22527_PRCH,22527,I,3,625,0
00C017    ,41174,22527_PRCH,22527,I,1,50,0
00C017    ,41180,22508_RTNS,22508,I,0,0,255.66
00C017    ,41180,22508_STKE,22508,I,48,656,0
00C017    ,41180,22527_PRCH,22527,I,3,460,0
00C017    ,41180,22527_SALE,22527,I,0,0,400
00C017    ,41181,22527_PRCH,22527,I,2,200,0
00C017    ,41181,22527_SALE,22527,I,0,0,100
00C017    ,41187,22527_PRCH,22527,I,3,500,0
00C017    ,41189,22527_PRCH,22527,I,3,348.55,0
00C017    ,41192,22527_PRCH,22527,I,1,100,0
00C017    ,41193,22527_PRCH,22527,I,2,250,0
00C017    ,41193,22527_SALE,22527,I,0,0,250
00C017    ,41194,22527_PRCH,22527,I,2,570,0
00C017    ,41196,22527_PRCH,22527,I,1,310,0
00C017    ,41200,22527_PRCH,22527,I,2,350,0
00C017    ,41201,22508_STKE,22508,I,11,97.2,0
00C017    ,41201,22527_PRCH,22527,I,1,300,0
00C017    ,41201,22527_SALE,22527,I,0,0,100
00C017    ,41201,22508_RTNS,22508,I,0,0,0
00C017    ,41203,22527_PRCH,22527,I,2,190,0
00C017    ,41207,22527_PRCH,22527,I,1,200,0
00C017    ,41208,22527_PRCH,22527,I,2,330,0
00C017    ,41208,22527_SALE,22527,I,0,0,200
00C017    ,41209,22527_PRCH,22527,I,1,250,0
00C017    ,41210,22527_PRCH,22527,I,1,160,0
00C017    ,41213,22527_PRCH,22527,I,2,250,0
00C017    ,41215,22527_PRCH,22527,I,2,320,0
00C017    ,41219,22527_PRCH,22527,I,1,100,0
00C017    ,41222,22527_PRCH,22527,I,2,500,0
00C017    ,41223,22527_PRCH,22527,I,2,152.99,0
00C017    ,41224,22527_PRCH,22527,I,1,100,0
00C017    ,41225,22527_SALE,22527,I,0,0,1500
00C017    ,41227,22527_PRCH,22527,I,1,120,0
00C017    ,41229,22527_PRCH,22527,I,2,545,0
00C017    ,41231,22527_PRCH,22527,I,2,560,0
00C017    ,41231,22527_SALE,22527,I,0,0,4000
00C017    ,41233,22527_PRCH,22527,I,2,500,0
00C017    ,41234,22527_PRCH,22527,I,1,250,0
00C017    ,41236,22527_PRCH,22527,I,4,1500,0
00C017    ,41237,2,9,I,4,200,400
00C017    ,41237,22527_PRCH,22527,I,3,800,0
00C017    ,41237,22527_SALE,22527,I,0,0,200
00C017    ,41238,22527_PRCH,22527,I,2,870,0
00C017    ,41238,22527_SALE,22527,I,0,0,500
00C017    ,41240,22527_PRCH,22527,I,2,250,0
00C017    ,41241,22527_PRCH,22527,I,3,855,0
00C017    ,41243,22527_SALE,22527,I,0,0,1000
00C017    ,41243,22527_PRCH,22527,I,7,900,0
00C017    ,41244,22527_PRCH,22527,I,2,700,0
00C017    ,41244,22527_SALE,22527,I,0,0,1000
00C017    ,41245,22508_RTNS,22508,I,0,0,233
00C017    ,41245,22508_STKE,22508,I,56,531.9,0
00C017    ,41245,22527_PRCH,22527,I,1,400,0
00C017    ,41246,22527_PRCH,22527,I,3,230,0
00C017    ,41247,22527_PRCH,22527,I,1,150,0
00C017    ,41250,22527_PRCH,22527,I,6,680,0
00C017    ,41252,22527_PRCH,22527,I,1,350,0
00C017    ,41255,22527_PRCH,22527,I,2,150,0
00C017    ,41257,22527_PRCH,22527,I,4,680,0
00C017    ,41257,22527_SALE,22527,I,0,0,500
00C017    ,41258,22527_PRCH,22527,I,3,800,0
00C017    ,41264,22527_PRCH,22527,I,5,1230,0
00C017    ,41264,22527_SALE,22527,I,0,0,500
00C017    ,41266,22527_PRCH,22527,I,1,150,0
00C017    ,41272,22508_RTNS,22508,I,0,0,34
00C017    ,41272,22508_STKE,22508,I,26,133.5,0
00C017    ,41272,22527_PRCH,22527,I,4,950,0
00C017    ,41272,22527_SALE,22527,I,0,0,600
00C017    ,41273,22527_PRCH,22527,I,1,260,0
00J381    ,41153,323,9,M,4,300,0
00J381    ,41154,323,9,M,1,150,0
00J381    ,41155,323,9,M,1,150,0
00J381    ,41156,2,9,N,1,140,0
00J381    ,41156,323,9,M,1,100,0
00J381    ,41157,323,9,N,2,230,0
00J381    ,41158,323,9,N,2,200,0
00J381    ,41160,2,9,M,1,200,0
00J381    ,41160,2,9,N,1,180,0
00J381    ,41160,323,9,N,1,120,0
00J381    ,41161,2,9,N,4,800,1127.38
00J381    ,41161,323,9,N,1,200,406.25
00J381    ,41161,40,6,N,1,140,0
00J381    ,41162,323,9,N,2,440,0
00J381    ,41162,45,17,M,1,153.63,0
00J381    ,41163,2,9,N,1,100,0
00J381    ,41163,323,9,N,1,200,0
00J381    ,41163,45,17,M,0,0,460.89
00J381    ,41164,2,9,N,3,460.89,1476.23
00J381    ,41164,323,9,N,1,150,0
00J381    ,41165,323,9,N,2,300,0
00J381    ,41166,323,9,M,1,150,0
00J381    ,41166,323,9,N,1,120,0
00J381    ,41166,2,9,M,3,540,866.67
00J381    ,41166,2,9,N,1,200,568.75
00J381    ,41167,1,5,M,1,150,0
00J381    ,41167,323,9,M,3,751.65,748.87
00J381    ,41167,323,9,N,1,150,0
00J381    ,41168,1,5,M,9,360,0
00J381    ,41168,2,9,M,4,900,900
00J381    ,41168,323,9,M,2,270.87,528.13
00J381    ,41168,325,13,M,1,248.13,496.26
00J381    ,41168,40,6,M,2,258,0
00J381    ,41168,46,5,M,1,80,0
00J381    ,41169,1,5,M,5,335,0
00J381    ,41169,2,9,M,4,700,900
00J381    ,41169,323,9,M,2,306.26,528.13
00J381    ,41169,40,6,M,1,143.13,0
00J381    ,41170,19,1,M,1,250,0
00J381    ,41170,2,9,M,1,150,0
00J381    ,41170,275,5,M,5,283,0
00J381    ,41170,323,9,M,2,300,893.75
00J381    ,41171,2,9,M,1,150,0
00J381    ,41171,323,9,M,3,510.75,0
00J381    ,41172,323,9,M,1,150,0
00J381    ,41172,323,9,N,1,150,0
00J381    ,41173,323,9,N,2,290,0
00J381    ,41174,,0,N,1,116,1036.75
00J381    ,41174,1,5,M,2,450,920
00J381    ,41174,2,9,M,5,650,866
00J381    ,41174,2,9,N,1,140,0
00J381    ,41174,323,9,M,1,140,0
00J381    ,41174,5,11,M,2,420,0
00J381    ,41175,1,5,M,10,520,600
00J381    ,41175,2,9,M,1,204,0
00J381    ,41175,323,9,M,1,240,0
00J381    ,41175,40,6,M,1,150,0
00J381    ,41175,42,4,M,3,536.75,0
00J381    ,41175,5,11,M,0,0,1194
00J381    ,41176,2,9,N,1,200,0
00J381    ,41176,323,9,N,2,350,0
00J381    ,41177,2,9,M,1,60,0
00J381    ,41177,323,9,M,1,140,0
00J381    ,41178,1,5,M,2,100,0
00J381    ,41178,2,9,M,2,150,0
00J381    ,41178,323,9,M,1,150,0
00J381    ,41179,2,9,M,2,180,0
00J381    ,41179,323,9,M,2,120,625.63
00J381    ,41179,42,4,M,2,277.5,277.5
00J381    ,41180,2,9,M,6,863.13,0
00J381    ,41180,323,9,M,3,430,650
00J381    ,41180,385,6,M,1,80,0
00J381    ,41180,40,6,M,1,100,0
00J381    ,41180,42,4,M,4,450,647.5
00J381    ,41181,323,9,M,1,125,0
00J381    ,41181,1,5,M,5,155,0
00J381    ,41181,2,9,M,1,120,0
00J381    ,41182,1,5,M,4,170,0
00J381    ,41182,2,9,M,6,1015.78,3547.1
00J381    ,41182,323,9,N,1,200,3300.78
00J381    ,41182,385,6,M,0,0,280
00J381    ,41182,40,6,M,2,340,0
00J381    ,41182,42,4,M,1,220,0
00J381    ,41182,46,5,M,6,540,1120
00J381    ,41183,2,9,M,2,316.67,0
00J381    ,41183,323,9,M,1,260,0
00J381    ,41183,42,4,M,2,502.1,414.72
00J381    ,41184,2,9,M,4,580,0
00J381    ,41184,275,5,M,7,540,780
00J381    ,41184,323,9,M,2,308.05,0
00J381    ,41184,42,4,M,2,550,484.62
00J381    ,41185,2,9,M,9,1165,1725
00J381    ,41185,275,5,M,5,350,0
00J381    ,41185,323,9,M,3,444.62,0
00J381    ,41186,2,9,M,1,50,0
00J381    ,41186,323,9,M,2,350,0
00J381    ,41186,40,6,M,1,100,0
00J381    ,41186,42,4,M,1,150,0
00J381    ,41187,2,9,M,1,200,0
00J381    ,41187,323,9,M,2,300,0
00J381    ,41188,2,9,M,1,150,1406.25
00J381    ,41188,323,9,M,1,200,0
00J381    ,41189,1,5,M,6,380,0
00J381    ,41189,2,9,M,3,626,352
00J381    ,41189,323,9,M,1,400,0
00J381    ,41189,40,6,M,1,227.25,900
00J381    ,41189,46,5,M,7,575,0
00J381    ,41190,19,1,M,1,311.31,0
00J381    ,41190,2,9,M,2,350,0
00J381    ,41190,323,9,M,1,200,0
00J381    ,41190,40,6,M,0,0,511.31
00J381    ,41191,2,9,M,1,100,0
00J381    ,41191,323,9,M,1,200,0
00J381    ,41191,,0,N,1,400,0
00J381    ,41192,2,9,M,2,310,780
00J381    ,41192,323,9,M,3,320,0
00J381    ,41193,2,9,M,1,200,0
00J381    ,41193,323,9,M,3,650,0
00J381    ,41194,2,9,N,2,230,0
00J381    ,41194,36,5,M,2,50,0
00J381    ,41195,40,6,M,1,150,0
00J381    ,41195,323,9,M,1,150,0
00J381    ,41196,323,9,M,2,200,0
00J381    ,41197,323,9,M,2,300,0
00J381    ,41198,2,9,N,1,200,0
00J381    ,41198,323,9,N,1,150,0
00J381    ,41199,323,9,M,2,305,0
00J381    ,41199,2,9,M,3,520,525
00J381    ,41200,323,9,N,1,120,0
00J381    ,41200,2,9,N,1,140,0
00J381    ,41201,2,9,N,1,160,0
00J381    ,41201,323,9,N,1,150,0
00J381    ,41202,1,5,M,1,212,0
00J381    ,41202,323,9,M,1,180,402.19
00J381    ,41203,2,9,M,1,50.19,0
00J381    ,41203,323,9,N,1,150,0
00J381    ,41205,275,5,M,1,80,0
00J381    ,41205,275,5,N,1,120,0
00J381    ,41206,323,9,M,2,200,0
00J381    ,41207,2,9,M,2,200,0
00J381    ,41207,323,9,N,1,150,0
00J381    ,41208,323,9,M,1,150,0
00J381    ,41209,2,9,M,2,220,600
00J381    ,41209,1,5,N,2,220,0
00J381    ,41209,2,9,N,2,220,0
00J381    ,41209,323,9,M,2,220,0
00J381    ,41209,323,9,N,1,120,0
00J381    ,41210,323,9,N,1,100,0
00J381    ,41212,323,9,N,2,300,0
00J381    ,41213,2,9,N,1,100,0
00J381    ,41213,323,9,N,1,100,0
00J381    ,41214,323,9,N,1,150,0
00J381    ,41215,323,9,N,2,270,0
00J381    ,41216,323,9,I,1,120,0
00J381    ,41216,323,9,N,1,110,0
00J381    ,41217,1,5,M,1,80,0
00J381    ,41217,1,5,N,2,50,0
00J381    ,41217,323,9,N,2,230,0
00J381    ,41218,2,9,M,1,200,0
00J381    ,41218,323,9,M,1,130,0
00J381    ,41221,2,9,M,1,0,0
00J381    ,41221,323,9,M,2,300,0
00J381    ,41222,2,9,M,1,202.25,0
00J381    ,41222,323,9,M,5,730,813.75
00J381    ,41223,1,5,N,1,100,0
00J381    ,41223,2,9,M,5,700,1200
00J381    ,41223,2,9,N,1,200,0
00J381    ,41223,323,9,M,2,281.5,1584.38
00J381    ,41224,323,9,N,1,400,0
00J381    ,41225,2,9,M,2,320,660
00J381    ,41225,323,9,M,2,260,0
00J381    ,41226,2,9,M,4,664.38,800
00J381    ,41226,323,9,N,1,400,0
00J381    ,41227,323,9,M,2,300,0
00J381    ,41227,40,6,M,1,200,0
00J381    ,41228,2,9,N,2,300,0
00J381    ,41228,323,9,N,1,100,0
00J381    ,41229,323,9,M,1,180,1608.75
00J381    ,41230,1,5,M,6,430,0
00J381    ,41230,2,9,M,1,178,0
00J381    ,41230,323,9,M,3,410.75,0
00J381    ,41230,5,11,M,1,200,0
00J381    ,41231,323,9,M,1,200,0
00J381    ,41232,2,9,M,4,230,0
00J381    ,41232,323,9,M,1,150,0
00J381    ,41233,323,9,N,1,200,0
00J381    ,41234,2,9,M,3,475,675
00J381    ,41234,323,9,M,1,150,0
00J381    ,41234,323,9,N,1,150,0
00J381    ,41235,2,9,M,1,150,0
00J381    ,41235,2,9,N,3,280,0
00J381    ,41235,275,5,N,2,100,0
00J381    ,41235,323,9,M,2,350,1185.94
00J381    ,41236,2,9,M,2,300,0
00J381    ,41236,323,9,M,4,450,0
00J381    ,41236,40,6,M,2,205.94,0
00J381    ,41237,,0,N,1,150,0
00J381    ,41237,2,9,N,1,250,1500
00J381    ,41237,323,9,M,1,100,0
00J381    ,41238,1,5,N,4,200,0
00J381    ,41238,2,9,N,2,274,0
00J381    ,41238,323,9,N,1,150,0
00J381    ,41238,40,6,M,0,0,474.31
00J381    ,41239,2,9,M,1,200,700
00J381    ,41239,323,9,M,1,150.31,1343.4
00J381    ,41240,1,5,M,3,250,0
00J381    ,41240,2,9,M,2,393.4,0
00J381    ,41241,2,9,M,3,520,0
00J381    ,41241,323,9,M,2,480,0
00J381    ,41242,2,9,M,1,150,0
00J381    ,41242,323,9,M,1,150,0
00J381    ,41243,2,9,N,1,170,0
00J381    ,41243,323,9,M,1,200,0
00J381    ,41243,323,9,N,1,130,0
00J381    ,41244,323,9,M,1,200,0
00J381    ,41245,323,9,M,1,150,0
00J381    ,41246,323,9,M,1,150,0
00J381    ,41247,323,9,M,2,300,0
00J381    ,41248,275,5,N,3,500.25,674.07
00J381    ,41248,323,9,M,3,456,656.25
00J381    ,41249,2,9,M,7,1200,500
00J381    ,41249,323,9,M,1,130,0
00J381    ,41249,42,4,M,1,244,0
00J381    ,41250,2,9,N,1,150,0
00J381    ,41250,323,9,M,1,100.07,0
00J381    ,41250,323,9,N,1,150,0
00J381    ,41251,323,9,M,1,200,0
00J381    ,41252,323,9,M,2,560,0
00J381    ,41252,42,4,M,0,0,610
00J381    ,41253,323,9,M,2,350,0
00J381    ,41254,1,5,I,1,200,0
00J381    ,41254,1,5,M,2,308,0
00J381    ,41254,323,9,M,1,200,528.13
00J381    ,41255,2,9,M,1,70.13,0
00J381    ,41255,323,9,M,2,350,0
00J381    ,41256,323,9,M,1,150,0
00J381    ,41257,2,9,M,1,200,0
00J381    ,41257,323,9,N,2,250,0
00J381    ,41259,1,5,N,2,200,0
00J381    ,41259,323,9,M,2,300,0
00J381    ,41260,323,9,M,1,200,0
00J381    ,41261,2,9,N,1,250,0
00J381    ,41262,2,9,M,1,220,0
00J381    ,41262,323,9,M,2,250,687.5
00J381    ,41263,323,9,M,2,367.5,0
00J381    ,41264,323,9,M,2,300,0
00J381    ,41265,323,9,M,2,380,0
00J381    ,41266,323,9,M,1,200,0
00J381    ,41269,323,9,M,3,500,1519.38
00J381    ,41270,2,9,M,1,120.38,0
00J381    ,41270,323,9,M,3,780,1056.25
00J381    ,41270,42,4,M,1,319,0
00J381    ,41271,2,9,M,3,656.24,756.25
00J381    ,41271,323,9,M,3,856.25,0
00J381    ,41272,,0,N,1,160,0
00J381    ,41272,1,5,M,3,180,0
00J381    ,41272,323,9,N,2,360,0
00J381    ,41273,323,9,M,2,350,1340.63
00J381    ,41274,323,9,M,1,400,0
01148BP   ,41153,2,9,N,6,3470,1320
01148BP   ,41154,2,9,I,1,250,0
01148BP   ,41155,2,9,I,2,500,0
01148BP   ,41156,2,9,I,2,600,0
01148BP   ,41157,2,9,I,13,2525,3065.63
01148BP   ,41157,2,9,N,2,690.63,0
01148BP   ,41158,2,9,I,4,1400,0
01148BP   ,41158,2,9,N,2,500,0
01148BP   ,41159,2,9,I,4,1450,0
01148BP   ,41160,2,9,I,7,1125,525
01148BP   ,41162,2,9,I,1,200,0
01148BP   ,41163,2,9,I,15,3825,4625
01148BP   ,41163,2,9,N,1,200,0
01148BP   ,41164,2,9,I,9,1900,3300
01148BP   ,41165,,0,N,1,500,500
01148BP   ,41165,2,9,I,3,700,0
01148BP   ,41165,2,9,N,1,500,850
01148BP   ,41166,2,9,I,17,4460,9228.13
01148BP   ,41166,2,9,M,2,818,0
01148BP   ,41167,2,9,I,8,1700.13,0
01148BP   ,41167,2,9,M,5,1640,1640
01148BP   ,41168,1,5,I,1,400,820
01148BP   ,41168,1,5,M,1,400,359.38
01148BP   ,41168,2,9,I,21,5560.18,5726.25
01148BP   ,41168,2,9,M,1,500,954.55
01148BP   ,41169,2,9,I,30,9800,8200
01148BP   ,41170,2,9,I,6,2008,0
01148BP   ,41171,2,9,I,1,200,0
01148BP   ,41172,2,9,I,17,5250,5550
01148BP   ,41173,2,9,I,8,2550,1550
01148BP   ,41173,2,9,N,2,750,0
01148BP   ,41174,2,9,I,5,1550,0
01148BP   ,41176,2,9,N,1,250,0
01148BP   ,41177,2,9,I,3,500,0
01148BP   ,41179,2,9,I,12,3638,6000
01148BP   ,41179,2,9,M,1,412,0
01148BP   ,41180,2,9,I,19,5887.5,7300
01148BP   ,41180,2,9,M,2,1000,0
01148BP   ,41180,2,9,N,2,825,1312.5
01148BP   ,41181,2,9,M,5,2200,900
01148BP   ,41182,2,9,M,1,200,0
01148BP   ,41183,2,9,I,5,1800,3125
01148BP   ,41183,2,9,M,1,500,1400
01148BP   ,41183,2,9,N,4,1275,550
01148BP   ,41184,2,9,I,20,5915.65,5203.15
01148BP   ,41184,2,9,N,1,400,0
01148BP   ,41185,2,9,N,1,125,0
01148BP   ,41185,2,9,I,21,4987.5,1975
01148BP   ,41186,2,9,I,2,-300,0
01148BP   ,41187,2,9,I,9,1250,650
01148BP   ,41191,2,9,I,33,9108.33,14245.83
01148BP   ,41191,2,9,N,1,450,0
01148BP   ,41192,2,9,I,10,3595.45,1495.45
01148BP   ,41192,2,9,N,1,337.5,0
01148BP   ,41193,2,9,I,6,1700,0
01148BP   ,41194,2,9,I,5,1006.25,506.25
01148BP   ,41195,2,9,I,2,500,0
01148BP   ,41196,2,9,I,1,400,0
01148BP   ,41197,2,9,I,8,2540,1877.5
01148BP   ,41198,2,9,I,7,2393.75,7331.25
01148BP   ,41199,2,9,I,19,5800,6605
01148BP   ,41199,2,9,N,4,1680,0
01148BP   ,41199,GWIL_SPRT,0,I,0,0,800
01148BP   ,41200,2,9,I,17,7625,4925
01148BP   ,41200,2,9,N,3,900,1050
01148BP   ,41200,3,8,I,4,1595,2745
01148BP   ,41201,2,9,I,9,3800,7237.5
01148BP   ,41201,2,9,N,1,600,0
01148BP   ,41202,2,9,I,5,1315,1275
01148BP   ,41202,2,9,N,7,2536.72,4839.22
01148BP   ,41203,2,9,I,17,7450,2150
01148BP   ,41203,2,9,M,2,900,0
01148BP   ,41204,2,9,I,7,1812.5,562.5
